attribute_id,attribute_name,DisToAll,Chicken,Pizza,Burger,Salad,Pasta,Sushi,Steak,Tacos,Soup,Sandwich,Fries,Hotdog,Curry,Rice,Fish,Cake
3104,stye,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3105,fellah,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3106,doodler,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3107,pollen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3108,berbere,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3109,belters,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3110,descender,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3111,fluff,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3112,oregano,1.41421,0,0,0,0.707107,0,0,0,0,0.707107,0,0,0,0,0,0,0
3113,mixer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3114,rotini,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3115,hunt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3116,stos,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3117,slickster,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3118,fills,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3119,plumaged,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3120,keyring,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3121,khodor,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3122,soba,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3123,caffeine-free,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3124,sutor,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3125,muscicapa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3126,sulamith,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3127,agnolotti,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3128,poodle,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3129,volvox,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3130,spoonfed,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3131,sclerocactus,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3132,rinse,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3133,summers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3134,microbrewery,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3135,turnip,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3136,chamrath,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3137,root,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3138,shehnaz,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3139,fiend,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3140,crating,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3141,feast,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3142,schmear,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3143,stirrer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3144,dlo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3145,yellow-banded,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
